IP:Port,Loss,Latency
162.159.195.199:1010,0%,4.72
188.114.97.91:864,0%,4.74
162.159.192.16:500,0%,4.74
188.114.96.249:3476,0%,4.76
162.159.192.75:891,0%,4.77
162.159.195.112:1002,0%,4.77
188.114.99.144:908,0%,4.78
162.159.195.222:1018,0%,4.79
188.114.99.16:939,0%,4.80
162.159.192.145:8319,0%,4.82
188.114.98.150:1070,0%,4.82
188.114.96.221:7156,0%,4.84
188.114.97.83:4198,0%,4.85
188.114.99.191:1014,0%,4.85
188.114.99.18:500,0%,4.86
188.114.98.168:968,0%,4.86
162.159.195.210:1180,0%,4.89
188.114.97.71:1180,0%,4.89
188.114.96.72:7156,0%,4.90
188.114.97.137:946,0%,4.91
188.114.99.225:7281,0%,4.91
188.114.97.54:943,0%,4.93
162.159.195.86:5279,0%,4.94
162.159.192.4:864,0%,4.96
188.114.96.110:903,0%,5.02
162.159.195.237:1701,0%,5.03
188.114.98.4:1701,0%,5.04
162.159.192.87:8742,0%,5.10
188.114.98.154:1014,0%,5.13
162.159.192.10:4500,0%,5.23
188.114.97.158:4177,0%,5.23
162.159.195.99:946,0%,5.25
188.114.97.140:878,0%,5.26
188.114.98.212:880,0%,5.26
162.159.195.163:7156,0%,5.27
162.159.195.220:4500,0%,5.27
162.159.192.73:8886,0%,5.28
162.159.195.134:2371,0%,5.29
162.159.195.209:890,0%,5.29
188.114.99.253:942,0%,5.30
188.114.97.123:3476,0%,5.30
188.114.99.244:903,0%,5.31
188.114.98.210:943,0%,5.33
188.114.97.242:7152,0%,5.33
188.114.98.234:928,0%,5.35
162.159.192.171:854,0%,5.38
188.114.98.236:7152,0%,5.38
188.114.98.54:7152,0%,5.39
162.159.192.106:7281,0%,5.39
162.159.195.237:1018,0%,5.40
188.114.97.249:3581,0%,5.41
162.159.192.74:1010,0%,5.47
188.114.97.25:1387,0%,5.50
162.159.192.161:928,0%,5.51
162.159.195.169:880,0%,5.54
188.114.96.158:7152,0%,5.58
188.114.96.178:7156,0%,5.60
162.159.195.102:1018,0%,5.64
162.159.195.226:1018,0%,5.65
162.159.195.164:8886,0%,5.67
188.114.97.113:3138,0%,5.74
188.114.96.61:1843,0%,5.80
188.114.96.179:890,0%,5.81
162.159.195.196:5956,0%,5.82
162.159.195.240:1074,0%,5.85
188.114.97.252:928,0%,5.87
188.114.99.108:8886,0%,5.89
162.159.195.118:864,0%,5.97
162.159.195.147:7152,0%,5.99
162.159.192.243:1843,0%,6.00
188.114.98.204:8319,0%,6.02
162.159.192.231:1014,0%,6.02
