IP Address,Port,Region,ASN
146.70.233.11,443,CH,M247 LTD Zurich Infrastructure
146.70.233.11,2083,CH,M247 LTD Zurich Infrastructure
146.70.233.25,443,CH,M247 Europe  Zurich Infrastructure
146.70.233.51,443,CH,M247 LTD Zurich Infrastructure
146.70.233.51,2083,CH,M247 LTD Zurich Infrastructure
146.70.71.157,443,CH,M247 LTD Zurich
151.158.1.131,443,CH,Evoxt CH
151.158.1.213,443,CH,evoxtcom
151.241.252.42,443,CH,WebPros International GmbH
151.243.190.222,2053,CH,HOSTKEY BV
151.243.190.222,8443,CH,HOSTKEY BV
152.67.64.55,443,CH,Oracle Public Cloud
152.67.70.113,2053,CH,Oracle Public Cloud
152.67.85.239,443,CH,Oracle Public Cloud
16.63.207.85,443,CH,Amazon Data Services Switzerland
167.17.181.19,443,CH,Baxet Group Inc
167.17.181.45,443,CH,Baxet Group Inc
167.17.181.72,443,CH,Baxet Group Inc
167.17.183.183,2083,CH,Baxet Group Inc
167.17.183.184,443,CH,Baxet Group Inc
171.22.16.201,443,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
171.22.16.237,443,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
176.10.119.35,443,CH,servinga GmbH
176.10.125.114,443,CH,Datasource AG
179.237.100.143,2053,CH,Cloudflare Inc
179.237.100.143,8443,CH,Cloudflare Inc
179.237.104.215,443,CH,Infomaniak Network SA
179.237.105.131,2053,CH,Infomaniak Network SA
179.237.105.131,2083,CH,Infomaniak Network SA
179.237.105.131,8443,CH,Infomaniak Network SA
179.237.105.131,443,CH,Infomaniak Network SA
179.237.108.163,443,CH,Infomaniak Network SA
179.237.108.163,8443,CH,Infomaniak Network SA
179.237.111.118,443,CH,Infomaniak Network SA
179.237.64.55,2053,CH,Infomaniak Network SA
179.237.67.171,8443,CH,Infomaniak Network SA
179.237.70.208,443,CH,Infomaniak Network SA
179.237.82.177,8443,CH,Infomaniak Network SA
179.237.83.141,8443,CH,Infomaniak Network SA
179.237.87.154,443,CH,Infomaniak Network SA
179.237.87.184,443,CH,Infomaniak Network SA
179.43.144.10,8000,CH,PRIVATE LAYER INC
179.43.156.121,443,CH,PRIVATE LAYER INC
179.43.180.236,443,CH,Private Layer INC
185.167.234.192,443,CH,Private Customer
185.191.239.133,443,CH,Fidel Ernesto Geronimo Ramirez trading as Global Business Consulting Geronimo Ramirez
185.191.239.218,443,CH,Fidel Ernesto Geronimo Ramirez trading as Global Business Consulting Geronimo Ramirez
185.195.69.158,443,CH,Datasource AG
185.195.69.19,443,CH,Datasource AG
185.195.69.200,8443,CH,Datasource AG
185.195.69.209,2053,CH,Datasource AG
185.195.69.72,443,CH,Datasource AG
185.218.204.205,443,CH,HOSTKEY BV
185.234.213.169,443,CH,Misaka Network Inc
185.237.225.47,443,CH,Friendhosting LTD
185.237.225.95,443,CH,Friendhosting LTD
188.244.117.27,443,CH,Prinode AB
193.108.55.90,8443,CH,Infomaniak Network SA
193.228.128.110,443,CH,GLOBAL INTERNET SOLUTIONS LLC
194.154.29.139,8443,CH,Datasource AG
194.154.29.151,8443,CH,Datasource AG
194.154.29.164,443,CH,Datasource AG
194.154.29.200,8443,CH,wwwfornexcom Fornex Hosting SL
194.154.29.245,443,CH,Datasource AG
194.154.29.72,443,CH,Datasource AG
194.154.29.81,443,CH,Datasource AG
194.246.118.199,443,CH,Iway AG
195.141.59.27,443,CH,Trueb AG
199.68.196.28,443,CH,Datasource AG
199.68.196.67,443,CH,wwwfornexcom Fornex Hosting SL
2.59.219.220,443,CH,ALEXHOST SRL
2.59.219.29,8443,CH,ALEXHOST SRL
2.59.219.90,443,CH,ALEXHOST SRL
213.176.18.108,443,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
213.176.18.232,443,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
213.176.18.42,443,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
213.55.216.115,443,CH,Salt Mobile SA
31.7.56.138,443,CH,Private Layer INC
38.180.161.128,443,CH,3NT SOLUTIONS LLP
38.180.85.203,443,CH,3NT SOLUTIONS LLP
45.140.205.7,443,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
45.143.200.141,443,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
45.148.102.235,443,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
45.148.102.244,443,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
45.148.118.224,443,CH,Baxet Group Inc
45.154.145.2,443,CH,Host4Biz sp z oo
45.59.117.171,443,CH,RouterHosting LLC
45.59.122.12,443,CH,RouterHosting LLC
45.59.122.74,443,CH,RouterHosting LLC
45.59.123.132,443,CH,RouterHosting LLC
45.59.123.140,443,CH,RouterHosting LLC
45.59.124.103,443,CH,RouterHosting LLC
45.59.124.162,443,CH,RouterHosting LLC
45.59.124.39,443,CH,RouterHosting LLC
45.59.125.106,8443,CH,RouterHosting LLC
45.59.125.191,443,CH,RouterHosting LLC
45.59.125.193,443,CH,RouterHosting LLC
