IP:Port,Loss,Latency
188.114.96.8:7152,0%,3.30
188.114.98.235:928,0%,3.30
162.159.195.129:987,0%,3.30
188.114.96.122:7281,0%,3.30
188.114.96.189:987,0%,3.31
188.114.98.70:8742,0%,3.31
188.114.98.153:5279,0%,3.31
188.114.97.119:1018,0%,3.31
188.114.99.107:1701,0%,3.31
188.114.96.144:878,0%,3.31
162.159.195.106:3581,0%,3.32
188.114.97.134:891,0%,3.32
